State,City,Year,Population1,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson
New York,Buffalo,2021,,2347,65,82,606,1594,7738,1043,5189,1506,121
North Carolina,Cary,2020,174441,120,1,16,25,78,1663,197,1351,115,6
North Carolina,Cary,2021,,129,4,9,31,85,1691,179,1409,103,6
North Carolina,Charlotte-Mecklenburg,2020,958358,8024,117,257,1761,5889,31177,4327,23863,2987,159
North Carolina,Charlotte-Mecklenburg,2021,,7466,97,306,1344,5719,29911,3685,23098,3128,131
North Carolina,Durham,2020,284925,2449,37,124,626,1662,10667,1908,7794,965,43
North Carolina,Durham,2021,,2158,47,125,545,1441,9671,1494,7414,763,36
North Carolina,Fayetteville,2020,212033,2088,30,94,262,1702,7253,1331,5458,464,49
North Carolina,Fayetteville,2021,,2026,47,81,242,1656,6058,929,4669,460,58
North Carolina,Greensboro,2020,299887,2711,60,98,581,1972,10870,2216,7534,1120,103
North Carolina,Greensboro,2021,,2630,51,77,545,1957,10546,1900,7529,1117,112
North Carolina,High Point,2020,113727,782,13,30,123,616,3420,517,2575,328,26
North Carolina,High Point,2021,,591,19,29,107,436,3167,484,2358,325,26
North Carolina,Raleigh,2020,482264,1913,22,177,470,1244,9887,1313,7228,1346,50
North Carolina,Raleigh,2021,,2233,26,164,489,1554,10272,1330,7876,1066,40
North Carolina,Wilmington,2020,125794,799,21,71,143,564,3211,595,2416,200,27
North Carolina,Wilmington,2021,,655,14,86,107,448,3522,576,2712,234,11
North Dakota,Fargo,2020,126927,591,7,113,60,411,4430,1018,2945,467,25
North Dakota,Fargo,2021,,658,6,118,104,430,5483,1342,3557,584,33
Ohio,Akron,2020,197433,1816,47,233,268,1268,7035,1294,4909,832,95
Ohio,Akron,2021,,1616,36,172,175,1233,6347,1182,4179,986,68
Ohio,Cincinnati,2020,304724,2747,94,221,752,1680,11286,2324,7455,1507,0
Ohio,Cincinnati,2021,,2405,66,190,607,1542,9780,1710,6635,1435,0
Ohio,Cleveland,2020,379121,6348,160,418,1598,4172,15784,3749,9045,2990,169
Ohio,Cleveland,2021,,5862,154,417,1179,4112,12973,2737,7537,2699,146
Ohio,Columbus,2020,911383,5193,174,879,1818,2322,28785,5577,20024,3184,13
Ohio,Columbus,2021,,5339,181,764,1993,2401,29497,4830,20363,4304,11
Ohio,Dayton,2020,140193,1533,47,142,300,1044,5414,1375,3248,791,8
Ohio,Dayton,2021,,1437,30,133,247,1027,5026,1292,2964,770,30
Ohio,Toledo,2020,271237,2819,57,231,506,2025,7981,1806,5159,1016,16
Ohio,Toledo,2021,,2520,60,164,376,1920,6721,1233,4411,1077,102
Oklahoma,Broken Arrow,2020,111488,192,2,35,30,125,2158,273,1630,255,2
Oklahoma,Broken Arrow,2021,,176,5,32,21,118,2125,293,1574,258,5
Oklahoma,Norman,2020,126480,380,5,51,49,275,3337,488,2432,417,6
Oklahoma,Norman,2021,,397,1,87,31,278,3719,501,2714,504,6
Oklahoma,Oklahoma City,2020,663661,4872,67,587,817,3401,26217,6064,16341,3812,122
Oklahoma,Oklahoma City,2021,,4288,82,538,642,3026,25365,6237,15638,3490,112
Oklahoma,Tulsa,2020,402166,4555,72,378,741,3364,20557,4407,12246,3904,253
Oklahoma,Tulsa,2021,,4478,59,364,593,3462,20030,4034,11768,4228,101
Oregon,Beaverton,2020,100085,240,1,42,47,150,2205,258,1695,252,27
Oregon,Beaverton,2021,,249,1,51,55,142,2359,287,1713,359,22
Oregon,Bend,2020,103485,178,2,29,31,116,1967,201,1600,166,37
Oregon,Bend,2021,,179,2,21,26,130,1599,154,1303,142,28
Oregon,Eugene,2020,174513,691,2,114,162,413,7008,1079,5206,723,90
Oregon,Eugene,2021,,708,3,112,164,429,6401,1028,4609,764,172
Oregon,Gresham,2020,109767,520,5,73,122,320,3084,423,1755,906,36
Oregon,Gresham,2021,,500,13,58,100,329,3235,461,1764,1010,32
Oregon,Hillsboro,2020,111146,257,2,55,46,154,2154,212,1699,243,21
Oregon,Hillsboro,2021,,270,6,38,56,170,2239,207,1770,262,37
Oregon,Portland,2020,662941,3768,53,282,881,2552,33009,4467,22132,6410,311
Oregon,Portland,2021,,4720,83,317,1099,3221,36646,4341,23322,8983,307
Oregon,Salem,2020,176632,708,2,31,149,526,6738,683,4942,1113,111
Oregon,Salem,2021,,797,8,27,159,603,6256,693,4536,1027,135
Rhode Island,Providence,2020,179603,871,16,65,183,607,4356,601,3209,546,8
Rhode Island,Providence,2021,,747,22,76,147,502,4682,510,3480,692,6
South Carolina,Columbia,2020,131777,1002,19,95,212,676,6028,759,4611,658,18
South Carolina,Columbia,2021,,957,22,87,176,672,5528,736,4214,578,9
South Carolina,North Charleston,2020,117503,1362,30,99,317,916,6081,658,4735,688,27
South Carolina,North Charleston,2021,,1227,35,74,256,862,6068,568,4752,748,14
South Dakota,Sioux Falls,2020,187370,1119,13,97,101,908,5867,684,4259,924,41
South Dakota,Sioux Falls,2021,,449,0,46,39,364,2507,318,1703,486,12
Tennessee,Chattanooga,2020,184211,2491,34,185,268,2004,11739,1174,8462,2103,38
Tennessee,Chattanooga,2021,,2538,33,205,193,2107,10898,1145,8142,1611,31
Tennessee,Clarksville,2020,161167,1006,15,101,77,813,3614,440,2768,406,10
Tennessee,Clarksville,2021,,937,15,106,82,734,3511,448,2630,433,11
Tennessee,Knoxville,2020,188672,1535,37,133,239,1126,8003,1080,5791,1132,14
Tennessee,Knoxville,2021,,1592,35,140,171,1246,7729,969,5635,1125,13
Tennessee,Memphis,2020,650937,15387,291,440,2145,12511,36440,5859,26053,4528,358
Tennessee,Memphis,2021,,15751,310,393,2050,12998,34184,5288,23950,4946,367
Tennessee,Metropolitan Nashville Police Department,2020,688013,8050,114,414,1755,5767,28214,3778,21385,3051,104
Tennessee,Metropolitan Nashville Police Department,2021,,7969,96,393,1572,5908,24619,3352,18432,2835,73
Tennessee,Murfreesboro,2020,151769,741,10,97,100,534,3764,362,3104,298,9
Tennessee,Murfreesboro,2021,,629,7,117,53,452,3470,324,2859,287,3
Texas,Abilene,2020,124061,523,3,123,63,334,2649,435,2014,200,10
Texas,Abilene,2021,,588,6,116,82,384,2562,449,1905,208,9
Texas,Amarillo,2020,200296,1678,15,141,241,1281,7385,1407,4915,1063,32
Texas,Amarillo,2021,,1499,21,146,188,1144,6756,1307,4590,859,47
Texas,Arlington,2020,402700,2184,23,275,360,1526,10324,1217,7843,1264,33
Texas,Arlington,2021,,2236,19,337,259,1621,10199,1238,7631,1330,17
Texas,Austin,2020,1000276,4730,46,504,1104,3076,36405,4786,27538,4081,134
Texas,Austin,2021,,4985,86,539,1006,3354,33441,4797,24098,4546,186
Texas,Beaumont,2020,116766,1435,23,80,300,1032,3883,959,2561,363,21
Texas,Beaumont,2021,,1231,18,83,234,896,3800,927,2494,379,26
Texas,Brownsville,2020,183627,742,7,83,153,499,3398,404,2872,122,14
Texas,Brownsville,2021,,723,2,80,132,509,3335,415,2785,135,21
Texas,Carrollton2,2020,141745,,,,,,,,,,
Texas,Carrollton,2021,,216,4,31,39,142,1934,277,1416,241,5
Texas,College Station,2020,120831,226,2,62,28,134,2319,326,1779,214,3
Texas,College Station,2021,,220,3,60,32,125,2068,285,1603,180,2
Texas,Corpus Christi,2020,329050,2788,34,246,479,2029,10797,2053,7858,886,88
Texas,Corpus Christi,2021,,2777,19,234,469,2055,10261,1720,7531,1010,79
Texas,Dallas,2020,1363028,12157,250,643,3455,7809,47017,9439,27013,10565,185
Texas,Dallas,2021,,10862,218,560,2360,7724,43808,6866,25185,11757,226
Texas,Denton,2020,144569,404,5,132,55,212,3194,358,2470,366,5
Texas,Denton,2021,,407,4,96,52,255,2986,303,2342,341,8
Texas,Edinburg,2020,103491,325,6,79,36,204,2310,281,1966,63,4
Texas,Edinburg,2021,,358,3,74,41,240,2282,253,1944,85,5
Texas,El Paso,2020,685288,2198,29,281,290,1598,8762,862,7413,487,16
Texas,El Paso,2021,,1655,30,307,221,1097,8393,1126,6387,880,37
Texas,Fort Worth,2020,929509,5207,110,494,901,3702,25996,3490,18906,3600,143
Texas,Fort Worth,2021,,5272,119,545,701,3907,24799,3545,17590,3664,115
Texas,Frisco,2020,212626,189,1,43,31,114,2077,243,1729,105,2
Texas,Frisco,2021,,208,4,60,12,132,1994,169,1704,121,4
Texas,Garland,2020,241845,700,5,77,284,334,6102,927,4097,1078,8
Texas,Garland,2021,,605,15,70,205,315,5719,870,3929,920,8
Texas,Grand Prairie,2020,196990,484,12,52,76,344,3812,352,2850,610,5
Texas,Grand Prairie,2021,,449,8,51,80,310,3408,331,2602,475,5
Texas,Houston,2020,2346155,29650,412,1263,8747,19228,98555,15857,67793,14905,530
Texas,Houston,2021,,28263,462,1143,7748,18910,95179,14664,65070,15445,462
Texas,Irving,2020,242976,762,9,125,216,412,6192,670,4580,942,11
Texas,Irving,2021,,802,12,154,186,450,5892,609,4319,964,7
Texas,Killeen,2020,154417,1034,25,92,157,760,2956,655,1865,436,5
Texas,Killeen,2021,,966,18,94,97,757,2654,525,1738,391,2
Texas,Laredo,2020,265515,864,12,93,155,604,3856,628,3013,215,60
Texas,Laredo,2021,,806,22,93,96,595,3144,399,2532,213,59
Texas,League City,2020,110518,131,1,40,25,65,1497,169,1203,125,0
Texas,League City,2021,,92,3,21,14,54,1220,142,955,123,0
Texas,Lubbock,2020,262146,2857,29,227,430,2171,10781,2297,7326,1158,102
Texas,Lubbock,2021,,2840,25,268,389,2158,9725,2149,6495,1081,93
Texas,McAllen,2020,144569,123,3,43,23,54,2791,139,2603,49,2
Texas,McAllen,2021,,259,0,44,18,197,2615,106,2469,40,12
Texas,McKinney,2020,208335,285,1,64,44,176,1966,218,1535,213,4
Texas,McKinney,2021,,274,5,50,22,197,1906,199,1506,201,6
Texas,Mesquite,2020,141325,628,11,71,149,397,5000,735,3410,855,11
Texas,Mesquite,2021,,718,10,49,169,490,4729,539,3382,808,11
Texas,Midland,2020,150529,549,10,81,50,408,3119,404,2249,466,16
Texas,Midland,2021,,590,11,130,40,409,2239,288,1694,257,5
Texas,Odessa,2020,126288,1020,13,107,106,794,3178,587,2124,467,22
Texas,Odessa,2021,,653,10,62,102,479,2879,512,1992,375,16
Texas,Pasadena,2020,151421,865,8,80,160,617,3551,422,2507,622,25
Texas,Pasadena,2021,,938,8,98,157,675,3654,579,2401,674,10
Texas,Pearland,2020,126111,128,3,30,34,61,1805,181,1502,122,1
Texas,Pearland,2021,,134,1,21,24,88,1823,183,1499,141,0
Texas,Plano,2020,290786,455,3,108,115,229,4790,616,3732,442,12
Texas,Plano,2021,,464,5,117,86,256,4790,567,3748,475,13
Texas,Richardson,2020,124190,157,6,21,52,78,2426,374,1749,303,4
Texas,Richardson,2021,,179,5,18,54,102,2470,281,1939,250,10
Texas,Round Rock,2020,137593,186,3,26,55,102,2286,235,1957,94,3
Texas,Round Rock,2021,,195,3,29,26,137,2438,183,2108,147,6
Texas,San Angelo,2020,101860,368,7,75,41,245,3053,476,2253,324,16
Texas,San Angelo,2021,,339,5,56,43,235,2618,476,1921,221,15
Texas,San Antonio,2020,1573189,11689,130,1233,2175,8151,57290,7954,42321,7015,237
Texas,San Antonio,2021,,10620,160,964,1699,7797,59802,7386,43651,8765,271
Texas,Sugar Land,2020,119671,71,4,10,20,37,1280,111,1080,89,0
Texas,Sugar Land,2021,,79,1,13,26,39,1472,196,1187,89,1
Texas,Tyler,2020,108139,473,6,55,69,343,3298,524,2571,203,2
Texas,Tyler,2021,,477,6,57,50,364,2783,343,2218,222,1
Texas,Waco,2020,140870,906,14,81,142,669,4861,872,3576,413,25
Texas,Waco,2021,,1024,15,111,147,751,4818,981,3412,425,9
Texas,Wichita Falls,2020,104673,405,9,82,76,238,3262,635,2343,284,1
Texas,Wichita Falls,2021,,590,7,119,55,409,3227,633,2172,422,2
Utah,Salt Lake City,2020,202187,1874,17,285,487,1085,14894,1548,11148,2198,68
Utah,Salt Lake City,2021,,1983,16,312,436,1219,14046,1631,10291,2124,64
Utah,West Jordan,2020,117955,296,4,48,44,200,2986,309,2358,319,6
Utah,West Jordan,2021,,294,4,48,31,211,2428,186,1962,280,6
Utah,West Valley,2020,135887,718,6,97,96,519,4525,722,2833,970,16
Utah,West Valley,2021,,730,5,92,85,548,4161,536,2857,768,10
Virginia,Alexandria,2020,161525,300,3,15,83,199,2799,130,2328,341,3
Virginia,Alexandria,2021,,310,1,13,80,216,2353,148,1986,219,3
Virginia,Chesapeake,2020,247118,1037,16,86,112,823,4450,389,3727,334,19
Virginia,Chesapeake,2021,,1135,23,100,82,930,4153,316,3467,370,8
Virginia,Hampton,2020,134082,358,24,33,95,206,3348,301,2778,269,18
Virginia,Hampton,2021,,382,25,41,98,218,3428,257,2821,350,21
Virginia,Norfolk,2020,242516,1562,50,113,259,1140,6650,522,5330,798,7
Virginia,Norfolk,2021,,1783,61,115,281,1326,7709,479,6144,1086,6
Virginia,Richmond,2020,233350,824,66,26,275,457,6848,775,5459,614,51
Virginia,Richmond,2021,,866,80,18,264,504,6400,695,5150,555,26
Virginia,Virginia Beach,2020,450858,459,17,67,125,250,6894,504,5759,631,33
Virginia,Virginia Beach,2021,,502,10,63,140,289,7030,374,5886,770,28
Washington,Bellevue,2020,150548,177,4,20,68,85,4547,602,3651,294,13
Washington,Bellevue,2021,,186,2,10,88,86,5129,632,4068,429,9
Washington,Everett,2020,112439,382,4,40,98,240,3761,520,2536,705,13
Washington,Everett,2021,,353,5,34,84,230,4491,718,3094,679,23
Washington,Kent,2020,133883,473,8,77,185,203,5414,1056,3386,972,15
Washington,Kent,2021,,524,12,92,188,232,6620,1364,3781,1475,29
Washington,Seattle,2020,771517,4865,52,311,1473,3029,37749,10469,22356,4924,206
Washington,Seattle,2021,,5813,41,271,1721,3780,39352,9692,24477,5183,220
Washington,Spokane,2020,223524,1364,19,207,280,858,11569,1755,8706,1108,105
Washington,Spokane,2021,,1443,13,208,261,961,10557,1528,7869,1160,111
Washington,Tacoma,2020,220123,1874,29,136,437,1272,12281,1997,8079,2205,132
Washington,Tacoma,2021,,2616,29,138,517,1932,14819,2192,8946,3681,239
Wisconsin,Green Bay,2020,104649,562,6,81,45,430,1613,207,1290,116,12
Wisconsin,Green Bay,2021,,485,3,71,40,371,1610,248,1224,138,13
Wisconsin,Kenosha,2020,100005,398,7,42,84,265,1445,214,1005,226,35
Wisconsin,Kenosha,2021,,354,13,63,30,248,1094,143,793,158,14
Wisconsin,Madison,2020,262736,853,10,76,165,602,7322,1307,5366,649,15
Wisconsin,Madison,2021,,756,11,95,130,520,6044,891,4494,659,13
Wisconsin,Milwaukee,2020,589105,9542,192,474,1945,6931,16304,3441,8344,4519,288
Wisconsin,Milwaukee,2021,,9271,175,415,1844,6837,24328,2793,9430,12105,238
1 The 2020 population figures are FBI estimates based on provisional data from the U.S. Census Bureau. See How these numbers are calculated for further explanation. ,,,,,,,,,,,,,
2 Complete January through December data for 2020 were not available.,,,,,,,,,,,,,
